unitid,year,instatetuition,costs,faculty,white_cohortsize
100654,1991,1298,53.121007,223,11
100654,1992,1600,52.536624,267,5
100654,1993,1600,50.39972,262,7
100654,1995,2022,68.024267,298,18
100654,1996,2312,66.424951,311,17
100654,1997,2420,72.461862,306,22
100654,1998,2332,78.356177,237,25
100654,1999,1932,75.868666,243,26
100654,2000,2400,79.084093,273.5,26
100654,2001,2400,96.538667,304,18
100654,2002,2520,90.776734,284,18
100654,2003,2832,107.761966,294,17
100654,2004,3120,110.994174,307,10
100654,2005,3120,118.90095,319,13
100654,2006,3120,123.859683,319,12
100654,2007,3432,126.371645,311,9
100654,2008,3432,132.165814,309,7
100654,2009,3948,122.977893,311,24
100654,2010,4872,138.956247,276,15
100663,1991,2050,712.376923,709,600
100663,1992,2238,812.820108,786,576
100663,1993,2358,910.784994,802,613
100663,1995,2604,937.402922,707,602
100663,1996,2700,1024.898335,680,568
100663,1997,2850,1075.711679,690,631
100663,1998,3060,1188.3903,691,611
100663,1999,2730,1180.033219,708,667
100663,2000,2820,1215.222121,564.5,653
100663,2001,2970,1334.286573,421,648
100663,2002,3150,1335.089128,804,775
100663,2003,3480,1440.737915,833,781
100663,2004,3840,1571.319289,810,846
100663,2005,3960,1604.47474,824,875
100663,2006,3960,1707.177796,824,905
100663,2007,3384,1824.09488,852,835
100663,2008,3792,2213.659961,849,790
100663,2009,4224,2223.549388,832,932
100663,2010,5806,2338.666019,861,921
100751,1991,1936,237.693778,818,2174
100751,1992,2068,237.079401,773,2075
100751,1993,2172,257.63431,762,2148
100751,1995,2374,294.397959,770,2133
100751,1996,2470,295.929705,738,1777
100751,1997,2594,306.024341,750,2111
100751,1998,2684,320.186995,781,2088
100751,1999,2872,341.218829,795,2216
100751,2000,3014,357.569083,787,2357
100751,2001,3292,380.9844,779,2047
100751,2002,3556,372.067854,794,2230
100751,2003,4134,392.176082,810,2584
100751,2004,4630,404.323227,800,2873
100751,2005,4864,449.794843,813,3048
100751,2006,5278,496.55614,850,3609
100751,2007,5700,565.427668,904,3890
100751,2008,6400,629.500088,1067,4280
100751,2009,7000,658.67213,1106,4221
100751,2010,7900,760.107259,1175,4332
100858,1991,1596,306.252082,1128,2704
100858,1992,1755,304.074934,1098,2864
100858,1993,1950,321.990528,1109,2703
100858,1995,2250,368.840182,1131,3175
100858,1996,2355,372.270174,1145,2985
100858,1997,2565,376.471708,1145,2879
100858,1998,2760,393.068124,1139,3278
100858,1999,2895,425.358257,1146,3253
100858,2000,3050,488.80635,1130.5,3459
100858,2001,3260,506.522984,1115,3258
100858,2002,3650,481.701655,1142,3596
100858,2003,4230,526.647346,1171,3174
100858,2004,4610,552.886023,1177,3032
100858,2005,4800,573.09999,1176,3543
100858,2006,5000,580.566562,1139,3328
100858,2007,5250,642.808641,1132,3414
100858,2008,5880,703.588583,1176,3493
100858,2009,6240,722.464527,1184,3363
