unitid,year,totcohortsize,w_cohortsize,m_cohortsize,tot4yrgrads,m_4yrgrads,w_4yrgrads,women_gradrate_4yr,womengradrate4yr,gradrate4yr,mengradrate4yr
100654,1991,1010,527,483,152,32,120,22.77,0.228,0.15,0.066
100663,1991,937,500,437,82,33,49,9.8,0.098,0.088,0.076
100751,1991,2511,1348,1163,630,213,417,30.93,0.309,0.251,0.183
100858,1991,3024,1496,1528,846,312,534,35.7,0.357,0.28,0.204
101435,1991,189,101,88,60,25,35,34.65,0.346,0.317,0.284
101480,1991,1100,567,533,109,42,67,11.82,0.118,0.099,0.079
101675,1991,365,144,221,73,41,32,22.22,0.222,0.2,0.186
101879,1991,755,387,368,66,23,43,11.11,0.111,0.087,0.062
102049,1991,569,337,232,217,89,128,37.98,0.38,0.381,0.384
102094,1991,1245,653,592,117,32,85,13.02,0.13,0.094,0.054
102234,1991,279,158,121,106,42,64,40.51,0.405,0.38,0.347
102368,1991,793,437,356,205,70,135,30.89,0.309,0.259,0.197
102377,1991,837,469,368,167,70,97,20.68,0.207,0.2,0.19
104151,1991,2447,1214,1233,442,174,268,22.08,0.221,0.181,0.141
104179,1991,3970,2063,1907,786,297,489,23.7,0.237,0.198,0.156
105330,1991,1881,1064,817,294,97,197,18.52,0.185,0.156,0.119
106245,1991,941,536,405,45,14,31,5.78,0.058,0.048,0.035
106342,1991,121,79,42,48,17,31,39.24,0.392,0.397,0.405
106397,1991,2327,1080,1247,381,170,211,19.54,0.195,0.164,0.136
106412,1991,650,393,257,55,15,40,10.18,0.102,0.085,0.058
106458,1991,1521,833,688,147,44,103,12.36,0.124,0.097,0.064
106467,1991,761,403,358,103,32,71,17.62,0.176,0.135,0.089
106485,1991,478,256,222,33,13,20,7.81,0.078,0.069,0.059
106704,1991,1961,1129,832,171,46,125,11.07,0.111,0.087,0.055
107044,1991,673,383,290,192,65,127,33.16,0.332,0.285,0.224
107080,1991,281,146,135,141,67,74,50.68,0.507,0.502,0.496
107141,1991,219,123,96,65,29,36,29.27,0.293,0.297,0.302
107512,1991,338,182,156,115,44,71,39.01,0.39,0.34,0.282
107558,1991,90,52,38,9,4,5,9.62,0.096,0.1,0.105
110097,1991,391,256,135,155,45,110,42.97,0.43,0.396,0.333
110404,1991,225,73,152,146,99,47,64.38,0.644,0.649,0.651
110422,1991,1526,717,809,121,36,85,11.85,0.118,0.079,0.044
110486,1991,363,200,163,26,16,10,5,0.05,0.072,0.098
110495,1991,273,164,109,39,8,31,18.9,0.189,0.143,0.073
110510,1991,815,505,310,58,17,41,8.12,0.081,0.071,0.055
110529,1991,1583,650,933,96,28,68,10.46,0.105,0.061,0.03
110538,1991,1284,731,553,171,35,136,18.6,0.186,0.133,0.063
110547,1991,337,227,110,9,2,7,3.08,0.031,0.027,0.018
110556,1991,1648,902,746,173,61,112,12.42,0.124,0.105,0.082
110565,1991,1847,1094,753,137,30,107,9.78,0.098,0.074,0.04
