unitid,instnm,semester,quarter,year,yearofsem,after
100654,ALABAMA A&M UNIVERSITY,1,0,1991,NA,NA
100654,ALABAMA A&M UNIVERSITY,1,0,1992,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,1993,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,1995,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,1996,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,1997,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,1998,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,1999,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,2000,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,2001,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,2002,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,2003,NA,NA
100654,ALABAMA A & M UNIVERSITY,1,0,2004,NA,NA
100654,Alabama A & M University,1,0,2005,NA,NA
100654,Alabama A & M University,1,0,2006,NA,NA
100654,Alabama A & M University,1,0,2007,NA,NA
100654,Alabama A & M University,1,0,2008,NA,NA
100654,Alabama A & M University,1,0,2009,NA,NA
100654,Alabama A & M University,1,0,2010,NA,NA
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,1991,2001,0
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,1992,2001,0
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,1993,2001,0
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,1995,2001,0
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,1996,2001,0
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,1997,2001,0
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,1998,2001,0
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,1999,2001,0
100663,UNIVERSITY OF ALABAMA AT BIRMINGHAM,0,1,2000,2001,0
